"Family","Subcategory","Product","Slug","Applications","Typical Spec","Grades / Forms","Overview","Technical Notes","Documentation","Datasheet","Image File","Company Image","SEO Title","Meta Description","Image Alt"
"Filter & Specialty Media","Manganese Greensand / Greensand Plus","Manganese Greensand / Greensand Plus","manganese-greensand-greensand-plus","Iron, Manganese, Hydrogen Sulphide removal (requires KMnO4 regeneration)","Standard & Plus grades","Granules","Manganese Greensand / Greensand Plus is supplied for iron, manganese, hydrogen sulphide removal (requires kmno4 regeneration).","Target industries: Same as Birm – higher Fe/Mn loads; Industrial & municipal water treatment. Complement to Birm for tougher water chemistry.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Manganese Greensand / Greensand Plus | Aarbutus Technologies","Manganese Greensand / Greensand Plus for iron, manganese, hydrogen sulphide removal (requires kmno4 regeneration). Request technical documentation and a quote from Aarbutus Technologies.","Manganese Greensand / Greensand Plus for industrial applications"
"Filter & Specialty Media","Katalox Light / Filox / Pyrolox / MnO2-based Media","Katalox Light / Filox / Pyrolox / MnO2-based Media","katalox-light-filox-pyrolox-mno2-based-media","High-capacity Fe, Mn, H2S, Arsenic, heavy metals removal","Various MnO2 media brands","Granules","Katalox Light / Filox / Pyrolox / MnO2-based Media is supplied for high-capacity fe, mn, h2s, arsenic, heavy metals removal.","Target industries: Premium iron removal systems, Industrial water, High-contamination borewells. Higher margin premium alternative.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Katalox Light / Filox / Pyrolox / MnO2-based Media | Aarbutus Technologies","Katalox Light / Filox / Pyrolox / MnO2-based Media for high-capacity fe, mn, h2s, arsenic, heavy metals removal. Request technical documentation and a quote from Aarbutus Technologies.","Katalox Light / Filox / Pyrolox / MnO2-based Media for industrial applications"
"Filter & Specialty Media","Calcite / Corosex / MgO","Calcite / Corosex / MgO","calcite-corosex-mgo","pH correction (raises pH), acid water neutralization","pH correction media","Granules / Chips","Calcite / Corosex / MgO is supplied for ph correction (raises ph), acid water neutralization.","Target industries: Acidic water treatment plants, Borewell water (low pH areas), Softener pre-treatment. Easy add-on product.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Calcite / Corosex / MgO | Aarbutus Technologies","Calcite / Corosex / MgO for ph correction (raises ph), acid water neutralization. Request technical documentation and a quote from Aarbutus Technologies.","Calcite / Corosex / MgO for industrial applications"
"Filter & Specialty Media","Filter-Ag / Filter-Ag Plus / Clinoptilolite Zeolite","Filter-Ag / Filter-Ag Plus / Clinoptilolite Zeolite","filter-ag-filter-ag-plus-clinoptilolite-zeolite","Turbidity & suspended solids (lighter than sand, higher dirt holding); some ion exchange","Lightweight media & natural zeolite","Granules","Filter-Ag / Filter-Ag Plus / Clinoptilolite Zeolite is supplied for turbidity & suspended solids (lighter than sand, higher dirt holding); some ion exchange.","Target industries: Pressure filters, Industrial water, Swimming pools; Zeolite also for ammonia etc.. Differentiation media + natural zeolite applications.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Filter-Ag / Filter-Ag Plus / Clinoptilolite Zeolite | Aarbutus Technologies","Filter-Ag / Filter-Ag Plus / Clinoptilolite Zeolite for turbidity & suspended solids (lighter than sand, higher dirt holding); some ion exchange. Request technical documentation and a quote from Aarbutus Technologies.","Filter-Ag / Filter-Ag Plus / Clinoptilolite Zeolite for industrial applications"
"Adsorbents","Bleaching Earth / Activated Clay / Fuller's Earth","Bleaching Earth / Activated Clay / Fuller's Earth","bleaching-earth-activated-clay-fuller-s-earth","Decolourisation and purification of edible oils, fats, petroleum products","Various activation grades","Powder / Granules","Bleaching Earth / Activated Clay / Fuller's Earth is supplied for decolourisation and purification of edible oils, fats, petroleum products.","Target industries: Edible oil refineries (huge in India), Soap industry, Petroleum refining. Strong volume potential if you can reach oil refineries / soap units.","CoA, TDS and MSDS available on request.","","/assets/images/bleaching-earth.svg","","Bleaching Earth / Activated Clay / Fuller's Earth | Aarbutus Technologies","Bleaching Earth / Activated Clay / Fuller's Earth for decolourisation and purification of edible oils, fats, petroleum products. Request technical documentation and a quote from Aarbutus Technologies.","Bleaching Earth / Activated Clay / Fuller's Earth for industrial applications"
"Adsorbents","Bone Char","Bone Char","bone-char","Fluoride and heavy metal removal; Sugar decolourisation","Standard bone char","Granules","Bone Char is supplied for fluoride and heavy metal removal; sugar decolourisation.","Target industries: Sugar industry, Specialty water treatment (fluoride). Niche but high value in specific applications.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Bone Char | Aarbutus Technologies","Bone Char for fluoride and heavy metal removal; sugar decolourisation. Request technical documentation and a quote from Aarbutus Technologies.","Bone Char for industrial applications"
"Adsorbents","Impregnated Activated Carbon","Impregnated Activated Carbon","impregnated-activated-carbon","Specific gas adsorption (H2S, Mercury, Radioactive Iodine, acidic/basic gases)","KOH, KI, Ag, Sulphur, etc. impregnated","Granules","Impregnated Activated Carbon is supplied for specific gas adsorption (h2s, mercury, radioactive iodine, acidic/basic gases).","Target industries: Air purification, Nuclear, Gold mining, Chemical plants, Odour control. High-value specialty upsell on base GAC customers.","CoA, TDS and MSDS available on request.","","/assets/images/activated-carbon.svg","","Impregnated Activated Carbon | Aarbutus Technologies","Impregnated Activated Carbon for specific gas adsorption (h2s, mercury, radioactive iodine, acidic/basic gases). Request technical documentation and a quote from Aarbutus Technologies.","Impregnated Activated Carbon for industrial applications"
"Adsorbents","Polymeric Adsorbents","Polymeric Adsorbents","polymeric-adsorbents","Selective removal of organics, colour, phenol, antibiotics from process streams","Purolite PAD, Amberlite type, etc.","Beads","Polymeric Adsorbents is supplied for selective removal of organics, colour, phenol, antibiotics from process streams.","Target industries: Pharma API plants, Fine chemicals, Food processing, High-value wastewater organics recovery. High margin, high technical. Good after pharma contacts.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Polymeric Adsorbents | Aarbutus Technologies","Polymeric Adsorbents for selective removal of organics, colour, phenol, antibiotics from process streams. Request technical documentation and a quote from Aarbutus Technologies.","Polymeric Adsorbents for industrial applications"
"Adsorbents","Activated Bentonite / Organoclay","Activated Bentonite / Organoclay","activated-bentonite-organoclay","Oil & grease removal, heavy metals, organic contaminants","Standard & organophilic","Powder / Granules","Activated Bentonite / Organoclay is supplied for oil & grease removal, heavy metals, organic contaminants.","Target industries: Industrial wastewater (ETP), Oil spill, Foundry. Useful ETP add-on.","CoA, TDS and MSDS available on request.","","/assets/images/bleaching-earth.svg","","Activated Bentonite / Organoclay | Aarbutus Technologies","Activated Bentonite / Organoclay for oil & grease removal, heavy metals, organic contaminants. Request technical documentation and a quote from Aarbutus Technologies.","Activated Bentonite / Organoclay for industrial applications"
"Adsorbents","Centaur / Catalytic Carbon","Centaur / Catalytic Carbon","centaur-catalytic-carbon","Chloramine, H2S, Iron/Manganese (catalytic performance)","Catalytic activated carbon","Granules","Centaur / Catalytic Carbon is supplied for chloramine, h2s, iron/manganese (catalytic performance).","Target industries: Advanced water systems needing catalytic action. Premium alternative to standard GAC for specific contaminants.","CoA, TDS and MSDS available on request.","","/assets/images/activated-carbon.svg","","Centaur / Catalytic Carbon | Aarbutus Technologies","Centaur / Catalytic Carbon for chloramine, h2s, iron/manganese (catalytic performance). Request technical documentation and a quote from Aarbutus Technologies.","Centaur / Catalytic Carbon for industrial applications"
"Adsorbents","KDF Media (55/85)","KDF Media (55/85)","kdf-media-55-85","Heavy metals, Chlorine, Bacteria control","Copper-Zinc media","Granules","KDF Media (55/85) is supplied for heavy metals, chlorine, bacteria control.","Target industries: Point-of-use filters, Residential & commercial systems, some industrial. Strong dealer / assembler channel potential.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","KDF Media (55/85) | Aarbutus Technologies","KDF Media (55/85) for heavy metals, chlorine, bacteria control. Request technical documentation and a quote from Aarbutus Technologies.","KDF Media (55/85) for industrial applications"
"Ion Exchange","Ion Exchange Resins","Ion Exchange Resins","ion-exchange-resins","Softening, Demineralisation, Deionisation, Heavy metal removal","Cation, Anion, Mixed Bed, Chelating resins","Beads / Bags or Drums","Ion Exchange Resins is supplied for softening, demineralisation, deionisation, heavy metal removal.","Target industries: Boiler feed water, Pharma (WFI/purified water), Electronics, Power plants, Food, Metal finishing. High value, recurring (resin life + regeneration). Strong in NCR pharma + power + boilers.","CoA, TDS and MSDS available on request.","","/assets/images/ion-exchange.svg","","Ion Exchange Resins | Aarbutus Technologies","Ion Exchange Resins for softening, demineralisation, deionisation, heavy metal removal. Request technical documentation and a quote from Aarbutus Technologies.","Ion Exchange Resins for industrial applications"
"Ion Exchange","Resin Regeneration Chemicals","Resin Regeneration Chemicals","resin-regeneration-chemicals","Regeneration of ion exchange resins","HCl, NaOH, NaCl, etc.","Liquid / Bags","Resin Regeneration Chemicals is supplied for regeneration of ion exchange resins.","Target industries: All users of IX resins (boilers, DM plants, pharma). Natural cross-sell. Never sell resin without offering regen chemicals option.","CoA, TDS and MSDS available on request.","","/assets/images/ion-exchange.svg","","Resin Regeneration Chemicals | Aarbutus Technologies","Resin Regeneration Chemicals for regeneration of ion exchange resins. Request technical documentation and a quote from Aarbutus Technologies.","Resin Regeneration Chemicals for industrial applications"
"Coagulants & Flocculants","Polyaluminium Chloride (PAC)","Polyaluminium Chloride (PAC)","polyaluminium-chloride-pac","Primary coagulant for turbidity, colour, organics removal in water & wastewater","Liquid & Powder; different basicity grades; also Polymer Aluminium Ferric Chloride","Liquid / Powder","Polyaluminium Chloride (PAC) is supplied for primary coagulant for turbidity, colour, organics removal in water & wastewater.","Target industries: Municipal water treatment, Industrial ETP, Paper, Textile, etc.. One of the highest volume coagulants in India. Excellent repeat.","CoA, TDS and MSDS available on request.","","/assets/images/coagulants-flocculants.svg","","Polyaluminium Chloride (PAC) | Aarbutus Technologies","Polyaluminium Chloride (PAC) for primary coagulant for turbidity, colour, organics removal in water & wastewater. Request technical documentation and a quote from Aarbutus Technologies.","Polyaluminium Chloride (PAC) for industrial applications"
"Coagulants & Flocculants","Polyacrylamide (PAM)","Polyacrylamide (PAM)","polyacrylamide-pam","Flocculant for solid-liquid separation, sludge dewatering, enhanced settling","Powder (Anionic / Cationic / Non-ionic), Emulsion, PHPA","Powder / Emulsion","Polyacrylamide (PAM) is supplied for flocculant for solid-liquid separation, sludge dewatering, enhanced settling.","Target industries: Water treatment, Mining, Oilfield, Paper, Municipal sludge. High consumption flocculant. Technical grade selection important.","CoA, TDS and MSDS available on request.","","/assets/images/coagulants-flocculants.svg","","Polyacrylamide (PAM) | Aarbutus Technologies","Polyacrylamide (PAM) for flocculant for solid-liquid separation, sludge dewatering, enhanced settling. Request technical documentation and a quote from Aarbutus Technologies.","Polyacrylamide (PAM) for industrial applications"
"Coagulants & Flocculants","Polydadmac / Polyamine","Polydadmac / Polyamine","polydadmac-polyamine","Organic coagulants / flocculants, often used with or instead of metal salts","Various molecular weights","Liquid","Polydadmac / Polyamine is supplied for organic coagulants / flocculants, often used with or instead of metal salts.","Target industries: Water treatment, Paper, Textile, Oilfield. Growing preference for organic coagulants in some applications.","CoA, TDS and MSDS available on request.","","/assets/images/coagulants-flocculants.svg","","Polydadmac / Polyamine | Aarbutus Technologies","Polydadmac / Polyamine for organic coagulants / flocculants, often used with or instead of metal salts. Request technical documentation and a quote from Aarbutus Technologies.","Polydadmac / Polyamine for industrial applications"
"Coagulants & Flocculants","Aluminium based Coagulants","Aluminium based Coagulants","aluminium-based-coagulants","Coagulation in water treatment","Aluminium Chlorohydrate (ACH), Aluminium Sulfate (Alum), Crystalline Aluminium Chloride","Powder / Liquid / Crystals","Aluminium based Coagulants is supplied for coagulation in water treatment.","Target industries: Municipal & Industrial water treatment. Traditional and still widely used. Alum is classic.","CoA, TDS and MSDS available on request.","","/assets/images/coagulants-flocculants.svg","","Aluminium based Coagulants | Aarbutus Technologies","Aluminium based Coagulants for coagulation in water treatment. Request technical documentation and a quote from Aarbutus Technologies.","Aluminium based Coagulants for industrial applications"
"Coagulants & Flocculants","Iron based Coagulants","Iron based Coagulants","iron-based-coagulants","Coagulation, especially effective for phosphorus & some organics; also sludge conditioning","Ferric Chloride, Ferric Sulphate, Polymerized Ferrous Sulfate","Liquid / Powder","Iron based Coagulants is supplied for coagulation, especially effective for phosphorus & some organics; also sludge conditioning.","Target industries: Municipal wastewater, Industrial ETP, Phosphorus removal. Strong in wastewater applications.","CoA, TDS and MSDS available on request.","","/assets/images/coagulants-flocculants.svg","","Iron based Coagulants | Aarbutus Technologies","Iron based Coagulants for coagulation, especially effective for phosphorus & some organics; also sludge conditioning. Request technical documentation and a quote from Aarbutus Technologies.","Iron based Coagulants for industrial applications"
"Supporting Water Chemicals","Other Coagulant / Treatment Chemicals","Other Coagulant / Treatment Chemicals","other-coagulant-treatment-chemicals","pH adjustment, dechlorination, specific treatment needs","Magnesium Chloride, Calcium Chloride, Sodium Metabisulfite, Sodium Bicarbonate, Sodium Hydroxide, AMPS, etc.","Various","Other Coagulant / Treatment Chemicals is supplied for ph adjustment, dechlorination, specific treatment needs.","Target industries: Various water treatment processes. Useful supporting chemicals once you are supplying main coagulants/adsorbents.","CoA, TDS and MSDS available on request.","","/assets/images/coagulants-flocculants.svg","","Other Coagulant / Treatment Chemicals | Aarbutus Technologies","Other Coagulant / Treatment Chemicals for ph adjustment, dechlorination, specific treatment needs. Request technical documentation and a quote from Aarbutus Technologies.","Other Coagulant / Treatment Chemicals for industrial applications"
"Supporting Water Chemicals","Defoamer / Antifoam","Defoamer / Antifoam","defoamer-antifoam","Foam control in treatment processes","Various silicone / non-silicone","Liquid","Defoamer / Antifoam is supplied for foam control in treatment processes.","Target industries: ETP, Process plants. Common need in many plants.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Defoamer / Antifoam | Aarbutus Technologies","Defoamer / Antifoam for foam control in treatment processes. Request technical documentation and a quote from Aarbutus Technologies.","Defoamer / Antifoam for industrial applications"
"Gas Treatment Media","Hopcalite Catalyst","Hopcalite Catalyst","hopcalite-catalyst","CO oxidation / removal at ambient or low temperature","Hopcalite type","Granules / Pellets","Hopcalite Catalyst is supplied for co oxidation / removal at ambient or low temperature.","Target industries: Air purification, Safety, some industrial gas treatment. Useful specialty for gas treatment portfolio.","CoA, TDS and MSDS available on request.","","/assets/images/catalyst-support.svg","","Hopcalite Catalyst | Aarbutus Technologies","Hopcalite Catalyst for co oxidation / removal at ambient or low temperature. Request technical documentation and a quote from Aarbutus Technologies.","Hopcalite Catalyst for industrial applications"
"Gas Treatment Media","CO Removal Catalysts","CO Removal Catalysts","co-removal-catalysts","Carbon monoxide removal from gas streams","Pt/Pd based, Ceramic honeycomb, others","Various forms","CO Removal Catalysts is supplied for carbon monoxide removal from gas streams.","Target industries: Industrial gas purification, Emission control, Safety systems. Selective – only common grades. High technical barrier for advanced ones.","CoA, TDS and MSDS available on request.","","/assets/images/catalyst-support.svg","","CO Removal Catalysts | Aarbutus Technologies","CO Removal Catalysts for carbon monoxide removal from gas streams. Request technical documentation and a quote from Aarbutus Technologies.","CO Removal Catalysts for industrial applications"
"Gas Treatment Media","Ozone Decomposition / Removal Catalysts & Filters","Ozone Decomposition / Removal Catalysts & Filters","ozone-decomposition-removal-catalysts-filters","Ozone destruction in off-gas or process streams","Ozone decomposition catalyst, Copper mesh carrier filters","Catalyst / Filter media","Ozone Decomposition / Removal Catalysts & Filters is supplied for ozone destruction in off-gas or process streams.","Target industries: Water treatment (ozone systems), Industrial processes using ozone. Relevant as ozone use grows in water treatment.","CoA, TDS and MSDS available on request.","","/assets/images/catalyst-support.svg","","Ozone Decomposition / Removal Catalysts & Filters | Aarbutus Technologies","Ozone Decomposition / Removal Catalysts & Filters for ozone destruction in off-gas or process streams. Request technical documentation and a quote from Aarbutus Technologies.","Ozone Decomposition / Removal Catalysts & Filters for industrial applications"
"Gas Treatment Media","VOCs Catalyst / Copper Oxide Catalyst / Iron Oxide Desulfurizers / CO2 Absorbent","VOCs Catalyst / Copper Oxide Catalyst / Iron Oxide Desulfurizers / CO2 Absorbent","vocs-catalyst-copper-oxide-catalyst-iron-oxide-desulfurizers-co2-absorbent","VOC oxidation, Desulfurization, CO2 removal","Various","Various","VOCs Catalyst / Copper Oxide Catalyst / Iron Oxide Desulfurizers / CO2 Absorbent is supplied for voc oxidation, desulfurization, co2 removal.","Target industries: Air pollution control, Gas purification, Biogas, etc.. Selective entry based on actual inquiries. Do not overload initial range.","CoA, TDS and MSDS available on request.","","/assets/images/catalyst-support.svg","","VOCs Catalyst / Copper Oxide Catalyst / Iron Oxide Desulfurizers / CO2 Absorbent | Aarbutus Technologies","VOCs Catalyst / Copper Oxide Catalyst / Iron Oxide Desulfurizers / CO2 Absorbent for voc oxidation, desulfurization, co2 removal. Request technical documentation and a quote from Aarbutus Technologies.","VOCs Catalyst / Copper Oxide Catalyst / Iron Oxide Desulfurizers / CO2 Absorbent for industrial applications"
"Filter & Specialty Media","Ceramic Filter Media / Bio-media","Ceramic Filter Media / Bio-media","ceramic-filter-media-bio-media","Biological filtration, some physical filtration","Various ceramic & bio media","Various","Ceramic Filter Media / Bio-media is supplied for biological filtration, some physical filtration.","Target industries: Aquaculture, Wastewater bio-treatment, some industrial. Lower priority for pure adsorption focus, but useful in full water treatment offering.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Ceramic Filter Media / Bio-media | Aarbutus Technologies","Ceramic Filter Media / Bio-media for biological filtration, some physical filtration. Request technical documentation and a quote from Aarbutus Technologies.","Ceramic Filter Media / Bio-media for industrial applications"
